Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,944,103,313,4993
Class 2,317,57,219,5760
Class 3,890,81,264,5118
Class 4,31,19,64,6239
Class 5,77,14,60,6202
Class 6,54,9,42,6248
Class 7,580,93,308,5372
Class 8,58,18,61,6216
Class 9,319,27,148,5859
Class 10,455,121,265,5512

Epoch:2
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1076,68,181,5028
Class 2,431,49,105,5768
Class 3,983,72,171,5127
Class 4,52,12,43,6246
Class 5,99,6,38,6210
Class 6,76,6,20,6251
Class 7,691,75,197,5390
Class 8,85,14,34,6220
Class 9,400,21,67,5865
Class 10,567,50,153,5583

Epoch:3
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1128,51,129,5045
Class 2,436,44,100,5773
Class 3,1027,43,127,5156
Class 4,73,9,22,6249
Class 5,106,10,31,6206
Class 6,80,4,16,6253
Class 7,744,56,144,5409
Class 8,94,9,25,6225
Class 9,414,16,53,5870
Class 10,594,55,126,5578

Epoch:4
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1113,58,144,5038
Class 2,458,33,78,5784
Class 3,1034,48,120,5151
Class 4,72,4,23,6254
Class 5,115,6,22,6210
Class 6,81,4,15,6253
Class 7,732,61,156,5404
Class 8,95,8,24,6226
Class 9,415,14,52,5872
Class 10,616,43,104,5590

Epoch:5
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1160,36,97,5060
Class 2,454,39,82,5778
Class 3,1061,41,93,5158
Class 4,80,6,15,6252
Class 5,112,5,25,6211
Class 6,84,3,12,6254
Class 7,769,42,119,5423
Class 8,94,7,25,6227
Class 9,432,15,35,5871
Class 10,623,46,97,5587

Epoch:6
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1151,53,106,5043
Class 2,470,28,66,5789
Class 3,1059,44,95,5155
Class 4,79,5,16,6253
Class 5,118,8,19,6208
Class 6,87,2,9,6255
Class 7,777,50,111,5415
Class 8,103,8,16,6226
Class 9,422,23,45,5863
Class 10,634,40,86,5593

Epoch:7
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1178,35,79,5061
Class 2,483,23,53,5794
Class 3,1076,29,78,5170
Class 4,73,9,22,6249
Class 5,125,1,12,6215
Class 6,90,3,6,6254
Class 7,788,51,100,5414
Class 8,92,9,27,6225
Class 9,427,16,40,5870
Class 10,637,32,83,5601

Epoch:8
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1156,47,101,5049
Class 2,484,24,52,5793
Class 3,1080,35,74,5164
Class 4,83,3,12,6255
